Date,Open,High,Low,Close,Adj Close,Volume
2000-06-12,119.125,120.4375,118.84375,118.84375,75.8469009399414,3640300
2000-06-13,118.875,119.9375,116.75,119.3125,76.14608764648438,4008600
2000-06-14,118.875,120.0,115.5,116.0,74.03202056884766,5282600
2000-06-15,116.0,119.0,115.875,116.8125,74.55055236816406,5386300
2000-06-16,116.3125,117.6875,113.25,113.25,72.27696228027344,8046200
2000-06-19,113.5,120.375,113.25,120.375,76.82414245605469,6059200
2000-06-20,120.0,120.6875,115.375,116.375,74.27133178710938,7103800
2000-06-21,115.5625,115.9375,113.5,114.5,73.07466888427734,6487000
2000-06-22,114.125,114.3125,111.25,111.8125,71.35952758789062,4853100
2000-06-23,113.5,113.625,110.8125,111.875,71.3993911743164,3360900
2000-06-26,113.0,115.75,112.875,114.40625,73.01485443115234,3625900
2000-06-27,111.625,112.8125,108.75,109.75,70.04319763183594,6607900
2000-06-28,110.0,115.1875,109.875,113.78125,72.61598205566406,6436600
2000-06-29,111.75,114.375,110.0625,114.0,72.75559997558594,7688500
2000-06-30,112.6875,113.1875,108.625,109.5625,69.9235610961914,8612600
2000-07-03,108.75,109.875,108.3125,109.5,69.8836669921875,2304400
2000-07-05,105.625,105.625,101.125,105.0,67.01171112060547,14339600
2000-07-06,105.0,105.125,100.0,101.25,64.61846160888672,12932700
2000-07-07,102.6875,105.0625,101.625,105.0625,67.05160522460938,9031700
2000-07-10,104.6875,104.9375,102.875,103.3125,65.93473815917969,4212200
2000-07-11,103.25,104.0,101.0,102.0,65.09711456298828,5619800
2000-07-12,103.1875,105.875,102.625,104.625,66.7724380493164,5550500
2000-07-13,105.4375,105.9375,102.0,104.0,66.37352752685547,5669700
2000-07-14,103.75,104.875,103.125,103.9375,66.33362579345703,4020000
2000-07-17,104.4375,107.875,104.1875,105.5,67.33081817626953,6632700
2000-07-18,104.125,104.8125,102.625,103.3125,65.93473815917969,6452700
2000-07-19,102.375,109.5,101.0,108.75,69.40503692626953,7781400
2000-07-20,112.0,117.8125,111.75,117.25,74.82977294921875,23048400
2000-07-21,117.0,117.0,113.75,114.75,73.23426055908203,8966400
2000-07-24,114.125,115.625,111.625,112.5,71.79827880859375,6814400
2000-07-25,113.25,113.375,110.25,112.0,71.47918701171875,5566900
2000-07-26,111.0,112.375,108.875,109.875,70.12301635742188,6670400
2000-07-27,109.875,111.5,109.3125,110.3125,70.40219116210938,4047400
2000-07-28,111.125,112.5,108.875,111.8125,71.35952758789062,5355600
2000-07-31,110.5,113.6875,110.0625,112.25,71.63872528076172,5113500
2000-08-01,112.0,112.4375,110.25,110.5,70.5218505859375,2996500
2000-08-02,111.0,114.875,110.75,114.25,72.91515350341797,5877900
2000-08-03,113.0,116.5,112.3125,116.0,74.03202056884766,5567400
2000-08-04,116.0,116.5,114.3125,115.875,73.95221710205078,4460500
2000-08-07,116.625,119.0,115.8125,116.3125,74.2314224243164,5910700
2000-08-08,115.6875,119.625,115.5625,118.875,75.95171356201172,5736700
2000-08-09,119.0,120.8125,118.75,118.75,75.87187194824219,6585400
2000-08-10,118.75,120.25,117.875,119.75,76.51081085205078,5484100
2000-08-11,119.75,121.8125,119.1875,120.625,77.0698471069336,6142400
2000-08-14,120.0,123.6875,119.3125,123.25,78.74700164794922,4949400
2000-08-15,122.0625,122.625,120.75,122.0,77.94835662841797,4378100
2000-08-16,121.0625,122.9375,119.5,122.375,78.18799591064453,5946000
2000-08-17,119.75,122.8125,119.5,122.5,78.2678451538086,4338400
2000-08-18,122.375,123.375,120.125,120.4375,76.95005798339844,4127500
2000-08-21,121.0625,122.1875,120.0625,121.4375,77.5889663696289,3234200
2000-08-22,121.1875,122.1875,121.0,121.375,77.54906463623047,2769400
2000-08-23,120.3125,123.75,119.875,123.25,78.74700164794922,4251200
2000-08-24,123.0,125.4375,122.6875,124.8125,79.74534606933594,5988300
2000-08-25,124.3125,129.875,124.25,129.0,82.42083740234375,8279000
2000-08-28,129.875,133.1875,129.75,131.5,84.01811218261719,8536600
2000-08-29,131.5,134.25,131.0,132.875,84.89665222167969,6040000
2000-08-30,130.75,131.5,129.5625,130.3125,83.25940704345703,4928800
2000-08-31,131.875,134.1875,131.625,132.015625,84.34757995605469,5469500
2000-09-01,133.0625,134.9375,132.625,133.625,85.37583923339844,5776300
2000-09-05,132.8125,133.3125,130.8125,131.1875,83.81848907470703,4112100
2000-09-06,130.875,134.875,130.375,131.4375,83.97817993164062,6473000
2000-09-07,131.875,134.5,131.875,133.375,85.21611022949219,4622800
2000-09-08,132.5,132.9375,129.375,129.5,82.74028778076172,4993700
2000-09-11,127.875,128.25,123.625,124.5,79.54564666748047,7617700
2000-09-12,124.8125,126.875,124.0625,125.0,79.86515808105469,5001700
2000-09-13,123.125,128.8125,122.75,127.6875,81.5822525024414,5473600
2000-09-14,128.0,129.1875,126.3125,126.875,81.0631103515625,4425500
2000-09-15,126.8125,127.25,124.75,125.0,79.86515808105469,5481700
2000-09-18,125.25,126.0,123.0625,123.25,78.74700164794922,3932800
2000-09-19,122.75,126.25,122.5625,124.9375,79.8252182006836,3341000
2000-09-20,124.6875,126.5625,123.5,124.75,79.70539855957031,4623400
2000-09-21,124.1875,126.6875,120.0,121.5,77.6288833618164,4302200
2000-09-22,123.0,124.3125,121.3125,123.875,79.14632415771484,5930100
2000-09-25,124.5,126.625,121.0,123.0,78.58728790283203,4291000
2000-09-26,120.0,121.875,118.375,119.125,76.1114730834961,6217200
2000-09-27,120.0625,120.3125,115.5,118.0,75.39268493652344,5948900
2000-09-28,117.375,118.875,115.0,115.25,73.6356430053711,5309100
2000-09-29,115.5,116.9375,110.25,112.625,71.95848083496094,9594600
2000-10-02,112.625,119.625,112.625,117.8125,75.27288818359375,8872200
2000-10-03,118.875,119.375,110.0,110.5625,70.64073181152344,11744200
2000-10-04,110.375,114.875,108.5625,114.375,73.07656860351562,11668900
2000-10-05,113.8125,114.5625,111.5625,113.1875,72.31788635253906,5547000
2000-10-06,114.0,116.125,112.75,116.0,74.11483764648438,6108400
2000-10-09,115.9375,119.375,114.3125,117.9375,75.35274505615234,4898000
2000-10-10,116.625,117.125,112.4375,114.875,73.39604949951172,5614200
2000-10-11,111.875,112.9375,107.5,112.0,71.55917358398438,8775800
2000-10-12,114.25,114.375,103.125,103.125,65.88871002197266,9704900
2000-10-13,104.1875,110.4375,104.1875,109.0625,69.68233489990234,9092600
2000-10-16,111.5,113.125,108.5625,111.125,71.00010681152344,7710400
2000-10-17,111.9375,113.875,108.5625,113.0,72.19806671142578,8882500
2000-10-18,96.75,99.125,90.25,95.4375,60.977027893066406,29777800
2000-10-19,98.0,98.5,92.6875,96.4375,61.6159782409668,17966900
2000-10-20,95.125,96.25,94.1875,94.75,60.53777313232422,9369200
2000-10-23,94.75,95.0,91.0625,92.875,59.339786529541016,9338600
2000-10-24,93.0,94.375,90.1875,91.4375,58.42136001586914,8826200
2000-10-25,90.5,90.9375,86.9375,87.5625,55.94552993774414,14058500
2000-10-26,88.0,92.875,87.625,92.75,59.25992202758789,10135700
2000-10-27,93.0,93.6875,91.0,93.6875,59.8588981628418,6431400
2000-10-30,93.5,93.75,90.3125,93.3125,59.61930465698242,8084000
2000-10-31,93.75,99.125,93.75,98.5,62.933712005615234,10902600
2000-11-01,98.4375,99.875,97.25,98.5625,62.97366714477539,7466200
2000-11-02,99.0,102.3125,98.5,101.9375,65.13001251220703,7445100
2000-11-03,102.5,102.625,99.375,100.125,63.97194290161133,5848500
2000-11-06,99.875,102.375,99.4375,100.3125,64.09178161621094,4448500
2000-11-07,101.125,103.5,100.6875,102.3125,65.36959838867188,5420600
2000-11-08,103.625,103.75,99.25,100.0,63.973384857177734,6990800
2000-11-09,96.75,100.0,95.6875,99.4375,63.613555908203125,9047900
2000-11-10,98.0,98.375,93.0,93.0,59.49525451660156,6807900
2000-11-13,91.8125,99.4375,91.625,97.4375,62.33407211303711,8684900
2000-11-14,99.25,99.875,98.5,99.5,63.65353775024414,5150900
2000-11-15,99.5,100.0625,97.625,99.375,63.57354736328125,4160300
2000-11-16,99.25,99.6875,98.25,98.25,62.853858947753906,3739700
2000-11-17,98.3125,102.5,98.25,101.9375,65.212890625,7717400
2000-11-20,101.5,103.25,100.875,103.25,66.05252075195312,7426600
2000-11-21,103.25,104.375,98.5,98.5,63.01380157470703,7180700
2000-11-22,98.5,100.8125,98.3125,98.5,63.01380157470703,5537100
2000-11-24,99.375,101.75,99.25,99.9375,63.933380126953125,2497500
